Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL,List_URL
The Sixth Sense,1999,M. Night Shyamalan,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette', 'Olivia Williams', 'Trevor Morgan', 'Donnie Wahlberg', 'Peter Anthony Tambakis', 'Jeffrey Zubernis', 'Bruce Norris', 'Glenn Fitzgerald', 'Greg Wood', 'Mischa Barton', 'Angelica Page', 'Lisa Summerour', 'Firdous Bamji', 'Samia Shoaib', 'Hayden Saunier', 'Janis Dardaris', 'Neill Hartley', 'Sarah Ripard', 'Heidi Fischer', 'KaDee Strickland', 'Michael J. Lyons', 'Samantha Fitzpatrick', 'Holly Cross Vagley', 'Kate Kearney-Patch', 'Marilyn Shanok', 'M. Night Shyamalan', 'Wes Heywood', 'Nico Woulard', 'Carol Nielson', 'Keith Woulard', 'Jodi Dawson', 'Tony Michael Donnelly', 'Ronnie Lea', 'Carlos Xavier Lopez', 'Gino Inverso', 'Ellen Sheppard', 'Tom McLaughlin', 'Candy Aston-Dennis', 'Patrick McDade', 'Jose L. Rodriguez', 'Gina Allegro', 'Bob Bowersox', 'Matt Casale', 'Kym Cohen', 'Colleen June McQuaide', 'Jonathan Nation', 'Sean Oliver', 'Alison Robertson']",4.02,4,"['Thriller', 'Mystery', 'Horror', 'Drama']",107,['USA'],English,"['English', 'Latin', 'Spanish']","['Spyglass Entertainment', 'The Kennedy/Marshall Company', 'Hollywood Pictures', 'Barry Mendel Productions']",1076656,133653,275231,3900,500,1573,1339,8358,10847,63950,91440,214569,83022,106360,581958,https://letterboxd.com/film/the-sixth-sense/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
The Treasure of the Sierra Madre,1948,John Huston,"['Humphrey Bogart', 'Walter Huston', 'Tim Holt', 'Bruce Bennett', 'Barton MacLane', 'Alfonso Bedoya', 'Arturo Soto Rangel', 'Manuel Dondé', 'José Torvay', 'Margarito Luna', 'Robert Blake', 'Guillermo Calles', 'Roberto Cañedo', 'Spencer Chan', 'Jacqueline Dalya', 'Ralph Dunn', 'Ernesto Escoto', 'Pat Flaherty', 'Martín Garralaga', 'Jack Holt', 'John Huston', 'Francisco Islas', 'Mario Mancilla', 'Julian Rivero', 'Jay Silverheels', 'Ray Spiker', 'Valdespino', 'Ildefonso Vega', 'Harry J. Vejar', 'Ignacio Villalbazo', 'Clifton Young', 'Ángela Rodríguez']",4.28,nan,"['Drama', 'Western', 'Adventure']",126,['USA'],English,['English'],['Warner Bros. Pictures'],93584,49956,27310,412,41,91,99,512,787,3837,6970,18934,13003,13931,58205,https://letterboxd.com/film/the-treasure-of-the-sierra-madre/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
A Prophet,2009,Jacques Audiard,"['Tahar Rahim', 'Niels Arestrup', 'Adel Bencherif', 'Hichem Yacoubi', 'Reda Kateb', 'Jean-Philippe Ricci', 'Gilles Cohen', 'Antoine Basler', 'Pierre Leccia', 'Foued Nassah', 'Jean-Emmanuel Pagni', 'Frédéric Graziani', 'Leïla Bekhti', 'Rabah Loucif', 'Slimane Dazi', 'Serge Onteniente', 'Hervé Témime', 'Taha Lemaizi', 'Mohamed Makhtoumi', 'Karim Leklou', 'Farid Larbi', 'Guillaume Verdier', 'Mourad Frarema', 'Hakim Sid', 'Nathanaël Maïni']",4.14,3.5,"['Crime', 'Drama']",155,"['France', 'Italy']",French,"['French', 'Arabic', 'Corsican']","['Why Not Productions', 'Chic Films', 'Page 114', 'France 2 Cinéma', 'UGC Films', 'BIM Distribuzione', 'Celluloid Dreams', 'France 2', 'CinéCinéma', 'La Région Île-de-France', ""Conseil Régional de Provence-Alpes Côte d'Azur"", 'CNC', 'Sofica UGC 1', 'Sofica Soficinéma 4', 'Soficinéma 5', 'Canal+']",63847,22614,16317,656,47,100,114,474,712,3256,6309,14638,8237,6368,40255,https://letterboxd.com/film/a-prophet/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
Portrait of a Lady on Fire,2019,Céline Sciamma,"['Noémie Merlant', 'Adèle Haenel', 'Luàna Bajrami', 'Valeria Golino', 'Christel Baras', 'Armande Boulanger', 'Guy Delamarche', 'Clément Bouyssou', 'Michèle Clément', 'Cécile Morel']",4.43,nan,"['Drama', 'Romance']",120,['France'],French,"['French', 'Italian']","['Lilies Films', 'ARTE France Cinéma', 'Hold Up Films', 'CNC', 'La Région Île-de-France', 'Canal+', 'Ciné+', 'ARTE', 'MK2 Films']",791869,257635,373743,46000,1002,1904,1442,6334,6553,28717,38650,127684,110367,270410,593063,https://letterboxd.com/film/portrait-of-a-lady-on-fire/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
Gladiator,2000,Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed', 'Richard Harris', 'Derek Jacobi', 'Djimon Hounsou', 'David Schofield', 'John Shrapnel', 'Tomas Arana', 'Ralf Moeller', 'Spencer Treat Clark', 'David Hemmings', 'Tommy Flanagan', 'Sven-Ole Thorsen', 'Omid Djalili', 'Nicholas McGaughey', 'Chris Kell', 'Tony Curran', 'Mark Lewis', 'John Quinn', 'Alun Raglan', 'David Bailie', 'Chick Allan', 'David J. Nicholls', 'Al Hunter Ashton', 'Billy Dowd', 'Giannina Facio', 'Giorgio Cantarini', 'Malcolm Ellul', 'Ray Mangion', 'João Costa Menezes', 'Mike Mitchell', 'Antone Pagán', 'Norman Campbell Rees', 'Neil Roche', 'Paul Sacks', 'Steve Saunders', 'Brian Smyj', 'Richard Stride', 'Tony Tomlinson', 'Paul Woodadge', 'Michael Yale']",4.09,nan,"['Action', 'Adventure', 'Drama']",155,"['UK', 'USA']",English,['English'],"['Universal Pictures', 'Scott Free Productions', 'Red Wagon Entertainment', 'Mill Film', 'DreamWorks Pictures']",1171398,146057,306431,14000,914,2606,2246,12383,14512,67594,88795,220115,115117,150773,675055,https://letterboxd.com/film/gladiator-2000/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
The Intouchables,2011,"Éric Toledano, Olivier Nakache","['François Cluzet', 'Omar Sy', 'Dominique Henry', 'Anne Le Ny', 'Clotilde Mollet', 'Alba Gaïa Bellugi', 'Audrey Fleurot', 'Cyril Mendy', 'Christian Ameri', 'Marie-Laure Descoureaux', 'Salimata Kamate', 'Absa Diatou Toure', 'Dominique Daguier', 'François Caron', 'Thomas Solivérès', 'Grégoire Oestermann', 'Dorothée Brière', 'Joséphine de Meaux', 'Émilie Caen', 'Caroline Bourg', 'Sylvain Lazard', 'Jean-François Cayrey', 'Ian Fenelon', 'Renaud Barse', 'François Bureloup', 'Nicky Marbot', 'Benjamin Baroche', 'Jérôme Pauwels', 'Antoine Laurent', 'Fabrice Mantegna', 'Hedi Bouchenafa', 'Michel Winogradoff', 'Elliot Latil', 'Yun-Ping He', 'Kévin Wamo', 'Pierre-Laurent Barneron', 'Philippe Pozzo di Borgo']",4.11,4,"['Drama', 'Comedy']",113,['France'],French,"['French', 'English']","['Gaumont', 'CinéCinéma', 'Quad Productions', 'Chaocorp', 'Ten Films', 'TF1', 'Canal+', 'TF1 Films Production']",651893,59464,165479,5800,594,1376,1321,5454,7517,33940,50865,122689,59723,81803,365282,https://letterboxd.com/film/the-intouchables/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
Bridesmaids,2011,Paul Feig,"['Kristen Wiig', 'Maya Rudolph', 'Rose Byrne', ""Chris O'Dowd"", 'Wendi McLendon-Covey', 'Ellie Kemper', 'Melissa McCarthy', 'Jon Hamm', 'Jill Clayburgh', 'Rebel Wilson', 'Matt Lucas', 'Michael Hitchcock', 'Tim Heidecker', 'Franklyn Ajaye', 'Lynne Marie Stewart', 'Terry Crews', 'Jessica St. Clair', 'Kali Hawk', 'Andy Buckley', 'Matt Bennett', 'Nancy Carell', 'Melanie Hutsell', 'Carnie Wilson', 'Chynna Phillips', 'Wendy Wilson', 'Joe Nuñez', 'Mia Rose Frampton', 'Tom Yi', 'Elaine Kao', 'Mitch Silpa', 'Dana Powell', 'Greg Tuculescu', 'Brian Petsos', 'Ben Falcone', 'Richard Riehle', 'Suzanne LaChasse', 'Annie Mumolo', 'Jillian Bell', 'Ariane Price', 'Paul Feig']",3.42,nan,"['Comedy', 'Romance']",125,['USA'],English,['English'],"['Apatow Productions', 'Relativity Media']",682731,65970,128136,2200,2577,6123,4920,20116,21379,70559,63390,85869,21157,37790,333880,https://letterboxd.com/film/bridesmaids/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
Kill Bill: Vol. 1,2003,Quentin Tarantino,"['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox', 'Daryl Hannah', 'David Carradine', 'Michael Madsen', 'Julie Dreyfus', 'Chiaki Kuriyama', 'Sonny Chiba', 'Gordon Liu Chia-hui', 'Michael Parks', 'Michael Bowen', 'Jun Kunimura', 'Kenji Ohba', 'Yuki Kazamatsuri', 'James Parks', 'Sakichi Sato', 'Jonathan Loughran', 'Yoshiyuki Morishita', 'Tetsuro Shimaguchi', 'Kazuki Kitamura', 'Yoji Tanaka', 'Sō Yamanaka', 'Juri Manase', 'Akaji Maro', 'Goro Daimon', 'Shun Sugata', 'Zhang Jinzhan', 'Hu Xiaohui', 'Ambrosia Kelley', 'Sachiko Fujii', 'Shu Lan Tuan', 'Ai Maeda', 'Naomi Kusumi', 'Hikaru Midorikawa', 'Issey Takahashi', 'Yoshiko Yamaguchi', 'Ronnie Yoshiko Fujiyama']",4.18,4.5,"['Crime', 'Action']",111,['USA'],English,"['English', 'Japanese', 'French']","['Miramax', 'A Band Apart', 'Super Cool ManChu']",2166919,265384,816040,37000,2029,6178,3152,20500,17505,112366,126727,415467,203256,406053,1313233,https://letterboxd.com/film/kill-bill-vol-1/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
Training Day,2001,Antoine Fuqua,"['Ethan Hawke', 'Denzel Washington', 'Scott Glenn', 'Tom Berenger', 'Harris Yulin', 'Raymond J. Barry', 'Cliff Curtis', 'Dr. Dre', 'Snoop Dogg', 'Eva Mendes', 'Macy Gray', 'Charlotte Ayanna', 'Nick Chinlund', 'Jaime Gomez', 'Raymond Cruz', 'Noel Gugliemi', 'Samantha Esteban', 'Richard Browner', 'Ronald Ellis', 'William English', 'Kyjel N. Jolly', 'Fran Kranz', 'Janeen Krikorian', 'Princera Lee', 'Seidy López', 'Robert Leon', 'Kenneth Allen Madden', 'Sarah Danielle Madison', 'Chris Patterson', 'Rudy Perez', 'Darrell Sellers', 'Ben Skorstad', 'Cle Sloan', 'Brett Sorenson', 'Abel Soto', 'Will Stewart', 'Denzel Whitaker', 'Garland Whitt', 'David Ayer', 'Jon A. Barnes', 'Greg Bronson', 'Michael Ray Clark', 'Terry Crews', 'Namrata Singh Gujral', 'Peter Greene', 'Gary Rodriguez', 'Vince Romo', 'Julie Stranahan', 'Nancy Young', 'George Meyers']",3.96,4.5,"['Action', 'Drama', 'Crime']",122,['USA'],English,"['English', 'Russian', 'Spanish', 'Korean']","['WV Films II', 'Village Roadshow Pictures', 'NPV Entertainment', 'Outlaw Productions', 'Warner Bros. Pictures']",411541,54393,106389,2400,213,712,746,3964,6242,29192,51644,101735,39905,30539,264892,https://letterboxd.com/film/training-day/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
Rush Hour,1998,Brett Ratner,"['Jackie Chan', 'Chris Tucker', 'Tom Wilkinson', 'Philip Baker Hall', 'Elizabeth Peña', 'Chris Penn', 'Mark Rolston', 'Tzi Ma', 'Rex Linn', 'Ken Leung', 'Robert Littman', 'Michael Chow', 'Julia Hsu', 'Kai Lennox', 'Larry Sullivan', 'Yang Lin', 'Roger Fan', 'George Cheung', 'Lucy Lin', 'Jason Davis', 'John Hawkes', 'Gene LeBell', 'Wayne A. King', 'Kevin L. Jackson', 'Manny Perry', 'Ronald D. Brown', 'Clifton Powell', 'Matthew Barry', 'Stanley DeSantis', 'Dan Martin', 'Kevin Lowe', 'Billy Devlin', 'Tommy Bush', 'Barry Shabaka Henley', 'Albert Wong', 'Ai Wan', 'Lydia Look', 'Chan Man-Ching', 'Sumiko Chan', 'Ken Lo', 'Stuart W. Yee', 'Nicky Li Chung-Chi', 'Andy Cheng', 'Christine Ng', 'Frances Fong', 'Robert Kotecki', 'Mike Ashley', 'Ada Tai', 'Arlene Tai', 'Nina Ameri', 'Stephen Blackehart', 'Michael Finuoli', 'Victoria Genisce', 'Sarah Krasner', 'James Lew', 'Mars', 'Jody Millard', ""Deirdre O'Brien"", 'Norman D. Wilson', 'Kwan Yung']",3.51,5,"['Crime', 'Action', 'Comedy']",98,['USA'],English,"['English', 'Cantonese', 'Chinese']","['Roger Birnbaum Productions', 'New Line Cinema', 'Caravan Pictures']",456818,36115,89479,1800,400,1679,1707,9122,14510,57425,58293,60055,12350,20904,236445,https://letterboxd.com/film/rush-hour/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
Mommy,2014,Xavier Dolan,"['Anne Dorval', 'Antoine Olivier Pilon', 'Suzanne Clément', 'Alexandre Goyette', 'Michèle Lituac', 'Viviane Pacal', 'Natalie Hamel-Roy', 'Isabelle Nélisse', 'Patrick Huard', 'Ted Pluviose', 'Pierre-Yves Cardinal', 'Reda Guerinik', 'Justin Laramée', 'Sabrina Bisson', 'Huguette Gervais', 'Vincent Fafard', 'Jean-Philippe Baril-Guérard', 'Dominic Desnoyers', 'Guenièvre Sandré', 'Isabeau Blanche', 'Catherine Brunet', 'Johanne Garneau', 'Michael Rudder', 'Robin-Joël Cool', 'Guillaume Laurin', 'Mathieu Dufresne', 'Stéphane Julien', 'Julie De Lafrenière', 'Sylvie Lemay', 'Danielle Lepine', 'Jeanne Roux-Coté', 'Rosalie Fortier', 'Steven Chevrin', 'Pierre-François Bouffard', 'Courtnee Rasmussen']",4.31,nan,['Drama'],138,['Canada'],French,"['French', 'English']","['Metafilms', 'Sons of Manual']",243562,75407,98044,10000,441,773,669,2505,2774,10473,15496,44402,33601,56101,167235,https://letterboxd.com/film/mommy-2014/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
The Hunt,2012,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm', 'Susse Wold', 'Anne Louise Hassing', 'Lars Ranthe', 'Alexandra Rapaport', 'Sebastian Bull Sarning', 'Steen Ordell Guldbrandsen', 'Daniel Engstrup', 'Troels Thorsen', 'Søren Rønholt', 'Hana Shuan', 'Jytte Kvinesdal', 'Josefine Gråbøl', 'Bjarne Henriksen', 'Nicolai Dahl Hamilton', 'Øyvind Hagen-Traberg', 'Allan Wibor Christensen', 'Rikke Bergmann', 'Rasmus Lind Rubin', 'Frank Rubæk', 'Jakob Højlev Jørgensen', 'Nina Christrup', 'Birgit Petersen', 'Karina Fogh Holmkjær', 'Heidi Gross', 'Marie Aktor', 'Mona C. Soliman', 'Mie Ravn Nielsen', 'Kim Westi Rasmussen', 'Thomas Ravn', 'Katrine Brygmann', 'Ole Dupont']",4.29,nan,['Drama'],116,"['Belgium', 'Denmark', 'France', 'Norway', 'Sweden']",Danish,"['Danish', 'Polish', 'English']","['Zentropa Entertainments', 'Det Danske Filminstitut', 'DR', 'Eurimages', 'MEDIA Programme of the European Union', 'Svenska Filminstitutet', 'SVT', 'Film i Väst', 'Nordisk Film & TV Fond']",404084,83154,127054,4400,400,688,545,2348,3126,15343,29028,97044,71889,61184,281595,https://letterboxd.com/film/the-hunt-2012/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
Chungking Express,1994,Wong Kar-wai,"['Takeshi Kaneshiro', 'Brigitte Lin', 'Tony Leung Chiu-wai', 'Faye Wong', 'Valerie Chow', 'Piggy Chan Kam-Chuen', 'Kwan Lee-na', 'Wong Chi-Ming', 'Leung San', 'Zhiming Huang', 'Songshen Zuo', 'Liang Zhen', 'Rico Chu', 'Vickie Eng', 'Lynne Langdon', 'Thom Baker']",4.3,nan,"['Comedy', 'Drama', 'Romance']",103,['Hong Kong'],Cantonese,"['Cantonese', 'Chinese', 'English', 'Hindi', 'Japanese', 'Eastern Punjabi, Eastern Panjabi', 'Urdu']",['Jet Tone Production'],513378,154190,224253,27000,396,690,684,3339,4821,21712,37396,105052,77290,117193,368573,https://letterboxd.com/film/chungking-express/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
Memories of Murder,2003,Bong Joon-ho,"['Song Kang-ho', 'Kim Sang-kyung', 'Kim Roi-ha', 'Song Jae-ho', 'Byun Hee-bong', 'Go Seo-hee', 'Ryu Tae-ho', 'Park No-shik', 'Park Hae-il', 'Jeon Mi-seon', 'Seo Young-hwa', 'Woo Go-na', 'Choi Jong-ryul', 'Yoo Seung-mok', 'Shin Hyeon-jong', 'Jung In-sun', 'Lee Jae-eung', 'Kwon Byung-gil', 'Park Hyun-young', 'Yoon Ga-hyun', 'Kwon Hyeok-pung', 'Jo Deok-jae', 'Jo Moon-ee', 'Baek Bong-ki', 'Kim Joo-ryoung', 'Yeom Hye-ran', 'Park Jin-woo', 'Lee Dong-yong', 'Oh Yong', 'Son Jin-hwan', 'Park Tae-kyeong', 'Son Kang-gook', 'Son Jin-ho', 'Shin Woon-seob', 'Ha-kyeong Kim', 'Lee Da-il', 'Shim Sung-bo', 'Lee Kang-san']",4.41,4.5,"['Thriller', 'Drama', 'Crime']",131,['South Korea'],Korean,"['Korean', 'English']","['CJ Entertainment', 'Muhan Investment', 'Sidus']",508599,143226,196852,16000,242,464,418,2064,3169,15543,33054,111034,102594,113865,382447,https://letterboxd.com/film/memories-of-murder/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
Shutter Island,2010,Martin Scorsese,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley', 'Max von Sydow', 'Michelle Williams', 'Emily Mortimer', 'Patricia Clarkson', 'Jackie Earle Haley', 'Ted Levine', 'John Carroll Lynch', 'Elias Koteas', 'Robin Bartlett', 'Christopher Denham', 'Nellie Sciutto', 'Joseph Sikora', 'Curtiss Cook', 'Raymond Anthony Thomas', 'Joseph McKenna', 'Ruby Jerins', 'Tom Kemp', 'Bates Wilder', 'Lars Gerhard', 'Matthew Cowles', 'Jill Larson', 'Ziad Akl', 'Dennis Lynch', 'John Porell', 'Aidan Cole Mitchell', 'Drew Beasley', 'Joseph P. Reidy', 'Bree Elrod', 'Thomas B. Duffy', 'Ken Cheeseman', 'Steve Witting', 'Michael E. Chapman', 'Keith Fluker', 'Darryl Wooten', 'Michael Byron', 'Gary Galone', 'Gabriel Hansen', 'Dan Marshall', 'Harrison Young', 'John Franchi']",4.1,4.5,"['Mystery', 'Drama', 'Thriller']",138,['USA'],English,"['English', 'German']","['Paramount', 'Phoenix Pictures', 'Sikelia Productions', 'Appian Way']",2289213,233301,789959,30000,1293,4652,3091,22429,22573,133787,167142,474470,243624,383122,1456183,https://letterboxd.com/film/shutter-island/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
The Imitation Game,2014,Morten Tyldum,"['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode', 'Rory Kinnear', 'Allen Leech', 'Matthew Beard', 'Charles Dance', 'Mark Strong', 'James Northcote', 'Tom Goodman-Hill', 'Steven Waddington', 'Ilan Goodman', 'Jack Tarlton', 'Alex Lawther', 'Jack Bannon', 'Tuppence Middleton', 'Dominic Charman', 'James G. Nunn', 'Charlie Manton', 'David Charkham', 'Victoria Wicks', 'Andrew Havill', 'Laurence Kennedy', 'Tim van Eyken', 'Will Bowden', 'Miranda Bell', 'Tim Steed', 'Bartosz Wandrykow', 'Hayley Joanne Bacon', 'Ingrid Benussi', 'Nicholas Blatt', 'Jack Brash', 'Ancuta Breaban', 'Alex Corbet Burcher', 'Grace Calder', 'Richard Campbell', 'Daniel Chapple', 'Lisa Colquhoun', 'Alexander Cooper', 'Leigh Dent', 'Esther Eden', 'Sam Exley', 'Ben Farrow', 'Mike Firth', 'Hannah Flynn', 'James Gard', 'Benjamin Hardie', 'Oscar Hatton', 'Vera Horton', 'Vincent Idearson', 'Denis Koroshko', 'Debra Leigh-Taylor', 'Stuart Matthews', 'Amber-Rose May', 'Samantha Moran', 'Adam Nowell', 'Joseph Oliveira', 'Harry Leonard Parkinson', 'David G. Robinson', 'Alice Tapfield', 'Mark Underwood', 'Nicola-Jayne Wells', 'Josh Wichard']",3.79,4,"['Drama', 'Thriller', 'War', 'History']",113,['USA'],English,['English'],"['Bristol Automotive', 'Black Bear Pictures', 'FilmNation Entertainment']",1138598,78340,276261,4100,865,2550,2840,15367,22626,100586,130460,219198,63347,83611,641450,https://letterboxd.com/film/the-imitation-game/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
What Dreams May Come,1998,Vincent Ward,"['Robin Williams', 'Cuba Gooding Jr.', 'Annabella Sciorra', 'Max von Sydow', 'Jessica Brooks Grant', 'Josh Paddock', 'Rosalind Chao', 'Lucinda Jenney', 'Maggie McCarthy', 'Wilma Bonet', 'Matt Salinger', 'Carin Sprague', 'June Carryl', 'Werner Herzog', 'Clara Thomas', 'Benjamin Brock', 'London Freeman', 'Phaedra Neitzel', ""Tom O'Reilly""]",3.34,nan,"['Romance', 'Fantasy', 'Drama']",113,['USA'],English,['English'],"['PolyGram Filmed Entertainment', 'Interscope Communications', 'Metafilmics']",88546,14985,16576,769,429,1170,1104,3679,4162,10154,8317,8689,2323,5641,45668,https://letterboxd.com/film/what-dreams-may-come/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
Warrior,2011,Gavin O'Connor,"['Joel Edgerton', 'Tom Hardy', 'Nick Nolte', 'Jennifer Morrison', 'Frank Grillo', 'Kevin Dunn', 'Maximiliano Hernández', 'Bryan Callen', 'Sam Sheridan', 'Fernando Chien', 'Jake McLaughlin', 'Vanessa Martinez', 'Denzel Whitaker', 'Carlos Miranda', 'Nick Lehane', 'Laura Chinn', 'Capri Thomas', 'Lexi Cowan', 'Noah Emmerich', 'Dan Caldwell', 'Timothy ""Skyskrape"" Katz', 'Julia Stockstad', 'Josh Rosenthal', 'Kurt Angle', 'Erik Apple', 'Anthony Johnson', 'Nate Marquardt', 'Roan Carneiro', 'Daniel Stevens', 'Anthony N.', 'Hans Marrero', 'Yves Edwards', 'Amir Perets', 'Anthony Tambakis', 'Jimmy Cvetic', 'Jace Jeanes', 'Jake Digman', 'Richard Fike', ""Andre' Mason"", 'James Houk', 'Aaron Kleiber', 'Raymond Rowe', 'Lambert R. Strayer', 'Roman Vasylyshyn', 'Jonathan Matthew Anik', 'Rashad Evans', 'Stephan Bonnar', 'Michelle Dawn Mooney', 'Tim Bickel', 'Jack Fisher', 'Jeff Hochendoner', 'Armon York Williams', 'Adam Christian Stanley', 'James Dreussi', 'Kevin P. Hanley', 'Tammy Townsend', 'Etta Cox', 'Sandy Notaro', 'Francesca Ortenzio', 'Jaime Sinue Aguirre', 'Tracy Campbell', 'Thomas McCue', ""Gavin O'Connor""]",4,4,"['Action', 'Drama']",140,['USA'],English,['English'],"['Lionsgate', 'Mimran Schur Pictures', 'Solaris Film', 'Filmtribe']",223777,39084,59073,2200,168,421,488,2277,3990,16201,26655,52218,25064,20224,147706,https://letterboxd.com/film/warrior/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
Children of Paradise,1945,Marcel Carné,"['Arletty', 'Jean-Louis Barrault', 'Pierre Brasseur', 'María Casares', 'Marcel Herrand', 'Louis Salou', 'Pierre Renoir', 'Jane Marken', 'Gaston Modot', 'Fabien Loris', 'Marcel Pérès', 'Etienne Decroux', 'Marcelle Monthil', 'Louis Florencie', 'Habib Benglia', 'Rognoni', 'Jacques Castelot', 'Paul Frankeur', 'Albert Rémy', 'Robert Dhéry', 'Auguste Bovério', 'Paul Demange', 'Lucienne Legrand', 'Maurice Schutz', 'Joe Alex', 'Nicolas Bataille', 'Gérard Blain', 'Bill Bocket', 'Albert Broquin', 'Jacques Josselin', 'Paul Temps', 'Michel Vadet', 'Roger Vincent', 'Rivers Cadet', 'Jean Carmet', 'Jean Diéner', 'Guy Favières', 'Jean Gold', 'Gustave Hamilton', 'Jean Lanier', 'Léon Larive', 'Marcel Melrac', 'André Numès', 'Raphaël Patorni', 'Pierre Palau', 'Lucien Walter', 'Cynette Quero']",4.24,nan,"['Drama', 'Romance']",191,['France'],French,['French'],['Société Nouvelle Pathé Cinéma'],26500,32119,7795,517,30,56,49,238,328,1111,1572,3849,2983,5030,15246,https://letterboxd.com/film/children-of-paradise/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
Christiane F.,1981,Uli Edel,"['Natja Brunckhorst', 'Thomas Haustein', 'Jens Kuphal', 'Rainer Woelk', 'David Bowie', 'Uwe Diderich', 'Jan Georg Effler', 'Peggy Bussieck', 'Christiane Lechle', 'Ellen Esser', 'Lothar Chamski', 'Eberhard Auriga', 'Andreas Fuhrmann', 'Christiane Reichelt', 'Kerstin Richter', 'Cathrine Schabeck', 'Stanislaus Solotar', 'Lutz Hemmerling', 'Daniela Jaeger', 'Bernhard Janson', 'Kerstin Malessa']",3.88,nan,['Drama'],131,['Germany'],German,['German'],"['CLV-Filmproduktions', 'Solaris Film', 'Maran Film', 'Popular Filmproduktion']",99119,23157,30166,2800,150,359,327,1410,2050,8660,12126,21025,6786,12440,65333,https://letterboxd.com/film/christiane-f/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
The Lives of Others,2006,Florian Henckel von Donnersmarck,"['Martina Gedeck', 'Ulrich Mühe', 'Sebastian Koch', 'Ulrich Tukur', 'Thomas Thieme', 'Hans-Uwe Bauer', 'Volkmar Kleinert', 'Matthias Brenner', 'Charly Hübner', 'Herbert Knaup', 'Bastian Trost', 'Marie Gruber', 'Volker Michalowski', 'Werner Daehn', 'Hinnerk Schönemann', 'Thomas Arnold', 'Ludwig Blochberger', 'Martin Brambach', 'Hubertus Hartmann', 'Paul Faßnacht', 'Paul Maximilian Schüller', 'Susanna Kraus', 'Michael Gerber', 'Fabian von Klitzing', 'Harald Polzin', 'Sheri Hagen', 'Gitta Schweighöfer', 'Hildegard Schroedter', 'Inga Birkenfeld', 'Jens Wassermann', 'Gabi Fleming', 'Kai Ivo Baulitz', 'Anabelle D. Munro', 'Klaus Münster']",4.27,nan,"['Drama', 'Thriller']",137,"['France', 'Germany']",German,['German'],"['Creado Film', 'Wiedemann & Berg Film', 'ARTE', 'BR']",181846,45757,48409,1900,164,290,278,1137,1767,6929,14411,38622,25697,22853,112148,https://letterboxd.com/film/the-lives-of-others/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/2/
